key,2,3,4
#,Text[Long],Text[Short],Text[Commentary]
offset,0,4,8
int32,str,str,str
3604480,,,
3604481,,,
3604482,多玛方城战解说,MAHJONG,多玛方城战解说
3604483,烈羽争锋,RIVAL WINGS,烈羽争锋解说
3604484,关于房屋,HOUSING,房屋解说
3604485,昔日重现模式,NEW GAME+,昔日重现模式解说
3604486,纷争前线,FRONTLINE,纷争前线解说
3604487,出海垂钓,OCEAN FISHING,出海垂钓解说
3604488,幻巧拼图,FAUX HOLLOWS,幻巧拼图解说
3604489,南方博兹雅战线,THE BOZJAN SOUTHERN FRONT,南方博兹雅战线解说
3604490,义军等级,RESISTANCE RANK,义军等级解说
3604491,失传技能,LOST ACTION,失传技能解说
3604492,博兹雅晶簇,BOZJA CLUSTER,博兹雅晶簇解说
3604493,九宫幻卡锦标赛解说,CARD TOURNAMENT,九宫幻卡锦标赛解说
3604494,,,
3604495,,,
3604496,义军勋章,RESISTANCE HONORS,义军勋章解说
3604497,扎杜诺尔高原战线,ZADNOR,扎杜诺尔高原战线解说
3604498,玩家对战,PvP,玩家对战解说
3604499,水晶冲突,CRYSTALLINE CONFLICT,水晶冲突解说
3604500,深层迷宫,DEEP DUNGEON,深层迷宫解说
3604501,深层迷宫,DEEP DUNGEON,深层迷宫解说
3604502,深层迷宫,DEEP DUNGEON,深层迷宫解说
3604503,听取解说,BLUNDERVILLE,金碟巨豆中心解说
3604504,初学者学堂,BATTLE,战斗解说
3604505,深层迷宫,DEEP DUNGEON,深层迷宫解说
3604506,,,
3604507,询问有关蜃景幻界新月岛南征之章,OCCULT CRESCENT,蜃景幻界新月岛
