key,1,3,9,10
#,Singular,Plural,Name,Tooltip
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,,,魔陶器：咒印解除,清除本层所有陷阱
2,,,魔陶器：全景,点亮本层所有地图，可看到本层所有陷阱
3,,,魔陶器：强化自身,自身攻击造成的伤害及治疗魔法的治疗量提高30%
4,,,魔陶器：强化防御,自身受到的伤害减轻40%
5,,,魔陶器：宝箱增加,增加下一层的宝箱
6,,,魔陶器：减少敌人,减少下一层的敌人
7,,,魔陶器：改变敌人,将下一层随机一个房间的敌人变化为拟态怪或蔓德拉
8,,,魔陶器：解咒,解除诅咒状态
9,,,魔陶器：运气上升,在本层击败敌人时宝箱出现率上升
10,,,魔陶器：形态变化,令进入以自身为中心一定范围内的目标变为青蛙、河童、小鸡
11,,,魔陶器：魔法效果解除,消除本层所有魔法效果
12,,,魔陶器：曼提克化,自身变为曼提克形态
13,,,魔陶器：梦魔化,自身变为梦魔形态
14,,,魔陶器：感知宝藏,显示埋藏的宝藏的所在位置，效果将持续到发现埋藏的宝藏为止
15,,,魔陶器：重生,复活第一个陷入无法战斗状态的小队队员
16,,,魔陶器：基路伯化,自身变为基路伯形态
17,,,魔陶器：弱化敌人,将本层的敌人变为攻防低下的状态
18,,,魔陶器：隐形,将自身与小队成员变为隐形状态
19,,,魔陶器：石化敌人,将本层的敌人变为石化状态
20,,,魔科学器：缓速,将本层的敌人变为缓速状态
21,,,魔科学器：大漩涡,将本层的敌人的体力降至个位数
22,,,魔科学器：恐慌装甲化,自身变为恐慌装甲形态
23,,,魔科学器：咒印解除,清除本层所有陷阱
24,,,魔科学器：全景,点亮本层所有地图，可看到本层所有陷阱
25,,,魔科学器：强化自身,自身攻击造成的伤害及治疗魔法的治疗量提高30%
26,,,魔科学器：强化防御,自身受到的伤害减轻40%
27,,,魔科学器：宝箱增加,增加下一层的宝箱
28,,,魔科学器：减少敌人,减少下一层的敌人
29,,,魔科学器：改变敌人,将下一层随机一个房间的敌人变化为拟态怪或蔓德拉
30,,,魔科学器：解咒,解除诅咒状态
31,,,魔科学器：运气上升,在本层击败敌人时宝箱出现率上升
32,,,魔科学器：形态变化,令进入以自身为中心一定范围内的目标变为青蛙、河童、小鸡
33,,,魔科学器：魔法效果解除,消除本层所有魔法效果
34,,,魔科学器：感知宝藏,显示埋藏的宝藏的所在位置，效果将持续到发现埋藏的宝藏为止
35,,,魔科学器：重生,复活第一个陷入无法战斗状态的小队队员
36,,,魔土器：加速,使自身和队员处于加速状态。
37,,,魔土器：净化之守,解除自身和队员所有可解除的状态异常效果，并附加一个可抵御下一次状态异常效果的护盾。
38,,,魔土器：巡礼之导,下一层必定会出现“光耀烛台”。
