key,0,1,2,3,4,5,6,7,8,9
#,,,,,,,,,,
offset,8,12,20,21,22,23,24,16,0,4
Int32,Int32,Int32,UInt8,UInt8,UInt8,UInt8,UInt8,Int32,String,String
0,0,0,0,0,0,0,0,0,,
1,20,0,30,3,1,1,1,15,绒绒火炎,对莫古力前方的1名敌人造成<hex:022003E80203>点伤害<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
2,10,8,40,4,3,3,2,25,绒绒星体风暴,对莫古力前方第<hex:022003E80303>格，以及此格周围的敌人造成<hex:022003E80203>点伤害<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
3,15,0,80,10,0,0,3,50,绒绒陨石,对所有敌人造成<hex:022003E80203>点伤害<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
4,50,0,10,1,0,0,4,0,绒绒治疗,恢复莫古力<hex:022003E80203>点体力<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
5,0,0,20,3,0,0,5,0,绒绒康复,解除莫古力身上除死亡宣告外所有的弱化效果<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
6,0,0,30,3,0,0,6,0,绒绒屏障,为莫古力附加能够抵御伤害的防护罩<hex:02100103>持续回合：<hex:022003E80603><hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
7,0,0,20,3,0,0,7,0,绒绒浮空,让莫古力浮空，免受地面效果的影响<hex:02100103>持续回合：<hex:022003E80603><hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
8,0,0,50,99,0,0,8,0,绒绒重生,莫古力陷入无法战斗状态时自动复活1次<hex:02100103>持续回合：永久<hex:02100103>消耗魔力：<hex:022003E80403>　复唱回合：<hex:022003E80503>
9,100,0,0,0,0,0,0,0,,
10,100,0,0,0,0,0,0,0,,
11,0,0,0,0,0,0,0,0,,
12,0,0,0,0,0,0,0,0,,
13,100,0,0,0,0,7,0,0,,
14,10,2,0,0,0,1,0,0,,
15,100,0,0,0,0,1,0,0,,
16,0,0,0,0,0,0,0,0,,
17,0,0,0,0,0,0,0,0,,
18,9999,0,0,0,0,0,0,0,,
