key,0,1
#,,
offset,0,4
int32,str,str
0,,
1,月门基地的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地正在进行第一次基地扩建工程施工！<hex:02100103>工程急需人手！欢迎各位协助者加入！
2,月门基地的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地正在实施第一次宇宙飞线铺设工程支援行动！<hex:02100103>工程急需人手！欢迎各位协助者加入！
3,月门基地东南方的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地东南方正在实施居住舱安装工程支援行动！<hex:02100103>工程急需人手！欢迎各位协助者加入！
4,月门基地西北方的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地西北方正在实施第一次宇宙港建设工程支援行动！<hex:02100103>工程急需人手！欢迎各位协助者加入！
5,月门基地东北方的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地东北方正在实施第一次机甲库扩建工程！<hex:02100103>工程急需人手！欢迎各位协助者加入！
6,憧憬湾西北方的建设工程即将完工。<hex:02100103>届时工程对应的施工区域将禁止人员进入，敬请注意。,在炙热海湾西北部，正在建设中的设施即将完工。<hex:02100103>预计设施完工时，相关区域将禁止进入，敬请留意。
7,憧憬湾东南方的建设工程即将完工。<hex:02100103>届时工程对应的施工区域将禁止人员进入，敬请注意。,在炙热海湾东南部，正在建设中的设施即将完工。<hex:02100103>预计设施完工时，相关区域将禁止进入，敬请留意。
8,憧憬湾南部的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,憧憬湾南部正在进行第一次隧道工程施工！<hex:02100103>工程急需人手！欢迎各位协助者加入！
9,憧憬湾南部的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,憧憬湾南部正在进行第二次隧道工程施工！<hex:02100103>工程急需人手！欢迎各位协助者加入！
10,憧憬湾西南方隧道深处的建设工程即将完工。<hex:02100103>届时工程对应的施工区域将禁止人员进入，敬请注意。,在炙热海湾西南部，隧道深处的建设中设施即将完工。<hex:02100103>预计设施完工时，相关区域将禁止进入，敬请留意。
11,月门基地的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地正在进行第二次基地扩建工程施工！<hex:02100103>工程急需人手！欢迎各位协助者加入！
12,月门基地西南方的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地西南方正在实施能源设施扩建工程支援行动！<hex:02100103>工程急需人手！欢迎各位协助者加入！
13,月门基地西部的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地西部正在实施供水设施扩建工程支援行动！<hex:02100103>工程急需人手！欢迎各位协助者加入！
14,月门基地东北方的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地东北方正在实施第二次机甲库扩建工程！<hex:02100103>工程急需人手！欢迎各位协助者加入！
15,月门基地西北方的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,月门基地西北方正在实施第二次宇宙港建设工程支援行动！<hex:02100103>工程急需人手！欢迎各位协助者加入！
16,憧憬湾东北方的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,憧憬湾东北方正在进行第一次升降梯建设用地整备工程施工！<hex:02100103>工程急需人手！欢迎各位协助者加入！
17,憧憬湾东北方的联合工程即将动工。<hex:02100103>工程急需人手！欢迎各位协助者加入！,憧憬湾东北方正在进行第二次升降梯建设用地整备工程施工！<hex:02100103>工程急需人手！欢迎各位协助者加入！
