key,1
#,
offset,0
int32,str
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,妖怪手表
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,敏菲利亚
97,桑克瑞德
98,雅·修特拉
99,于里昂热
100,帕帕力莫
101,
102,可露儿
103,希尔迪布兰德
104,艾达
105,
106,西德
107,苍穹骑士团
108,艾默里克
109,伊塞勒
110,飞燕
111,豪雪
112,
113,琳
114,盖娅
115,欧米茄
116,
117,
118,
119,鞣革皮带
120,
121,古·拉哈·提亚
122,零
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,莫古力
143,
144,猫小胖
145,风雅
146,
147,
148,
149,
150,
151,
152,
153,
154,服务器
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
