key,6
#,
offset,24
int32,str
1000000,
1000001,东方公子套装
1000002,东方秀女套装
1000003,东方警卫套装
1000004,东方女官套装
1000005,苍穹骑士圣枪系列
1000006,苍穹骑士圣斧系列
1000007,苍穹骑士圣剑系列
1000008,苍穹骑士圣杖系列
1000009,风雅套装
1000010,东方贵人套装
1000011,东方雅人套装
1000012,东方丽人套装
1000013,绿宝石兽套装
1000014,黄宝石兽套装
1000015,哪吒赤莲套装
1000016,哪吒白莲套装
1000017,天使套装
1000018,恶魔套装
1000019,王子套装
1000020,公主套装
1000021,门客套装
1000022,辨天套装
1000023,东方女生套
1000024,东方书生套
1000025,东方武官套
1000026,东方美姬套
1000027,美格雅卡套装
1000028,红宝石兽套装
1000029,孔雀套
1000030,登山套
1000031,山间少女套
1000032,学院制服（领带）套装
1000033,学院制服（蝴蝶结）套装
1000034,东方雅士套装
1000035,东方美玉套装
1000036,志士套装
1000037,血盟女士套装
1000038,血盟拳手套装
1000039,血盟咒术套装
1000040,血盟盗贼套装
1000041,血盟记录者套装
1000042,血盟幻术套装
1000043,西德套装
1000044,加隆德套装
1000045,雅·修特拉新装
1000046,桑克瑞德新装
1000047,苍穹骑士套装
1000048,苍穹法师套装
1000049,总骑士长套装
1000050,艾达套装
1000051,血盟解放者套装
1000052,破损的绅士套装
1000053,飞燕套装
1000054,豪雪套装
1000055,纯白套装
1000056,血盟聆听者套装
1000057,威风凛凛套装
1000058,血盟魔女套装
1000059,巫女套装
1000060,欧米茄M服装套装
1000061,欧米茄F服装套装
1000062,圣府军套装-女
1000063,诺拉套装-男
1000064,恋人节套装-男
1000065,恋人节套装-女
1000066,玫瑰花恋人套（裤装版）
1000067,勿忘草恋人套（裤装版）
1000068,相思树恋人套（裤装版）
1000069,玫瑰花恋人套（裙装版）
1000070,勿忘草恋人套（裙装版）
1000071,相思树恋人套（裙装版）
1000072,君子套
1000073,淑女套
1000074,小黄莺套装
1000075,总管套装
1000076,魔石精套装
1000077,火红男式夏装
1000078,翠绿男式夏装
1000079,蔚蓝男式夏装
1000080,金阳男式夏装
1000081,银月男式夏装
1000082,火红女式夏装
1000083,翠绿女式夏装
1000084,蔚蓝女式夏装
1000085,金阳女式夏装
1000086,银月女式夏装
1000087,夜暮男式夏装
1000088,条纹男式夏装
1000089,晨曦女式夏装
1000090,条纹女式夏装
1000091,传代战士套装
1000092,红莲节套装
1000093,永夏套装
1000094,怪诞套装
1000095,魔女套装
1000096,美梦套装
1000097,驯鹿套装
1000098,雪人套装
1000099,星芒套装
1000100,2016驯鹿套装
1000101,圣人套装
1000102,唱诗班套装
1000103,女仆套装
1000104,管家套装
1000105,上仙套装
1000106,莫古莫古套装
1000107,艾普套装
1000108,大召唤士套装
1000109,小鸡套装
1000110,街头套装
1000111,男性人狼套装
1000112,女性人狼套装
1000113,志士套装
1000114,学院制服（领带）套装
1000115,学院制服（蝴蝶结）套装
1000116,女仆套装
1000117,管家套装
1000118,山间少女套
1000119,登山套
1000120,美格雅卡套装
1000121,东方贵人套装
1000122,风雅套装
1000123,孔雀套
1000124,东方美玉套装
1000125,东方雅士套装
1000126,东方丽人套装
1000127,东方雅人套装
1000128,东方秀女套装
1000129,东方公子套装
1000130,东方女官套装
1000131,东方警卫套装
1000132,东方书生套
1000133,东方女生套
1000134,东方武官套
1000135,东方美姬套
1000136,辨天套装
1000137,门客套装
1000138,哪吒赤莲套装
1000139,哪吒白莲套装
1000140,天使套装
1000141,恶魔套装
1000142,上仙套装
1000143,王子套装
1000144,公主套装
1000145,大召唤士套装
1000146,艾普套装
1000147,绿宝石兽套装
1000148,黄宝石兽套装
1000149,红宝石兽套装
1000150,莫古莫古套装
1000151,木匠套装复制品
1000152,铁匠套装复制品
1000153,甲匠套装复制品
1000154,金匠套装复制品
1000155,革匠套装复制品
1000156,衣匠套装复制品
1000157,炼金套装复制品
1000158,烹调套装复制品
1000159,矿工套装复制品
1000160,樵夫套装复制品
1000161,渔人套装复制品
1000162,珍木套装复制品
1000163,镔铁套装复制品
1000164,戎甲套装复制品
1000165,镂金套装复制品
1000166,精革套装复制品
