key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CLSCNJ000_00022_SEQ_00,幻术师行会接待处的玛代勒，在为冒险者办理入会的手续时，需要确认一下冒险者的决心。
1,TEXT_CLSCNJ000_00022_SEQ_01,接待员介绍了幻术师行会的会长艾·斯密·雅恩，去和行会里的艾·斯密·雅恩打声招呼。
2,TEXT_CLSCNJ000_00022_SEQ_02,得到了艾·斯密·雅恩的认可，冒险者加入了幻术师行会。为了理解幻术，讨伐松鼠、花甲虫和丛林魔菇各3只。
3,TEXT_CLSCNJ000_00022_SEQ_03,成功讨伐了指定的魔物。向幻术师行会的艾·斯密·雅恩报告。
4,TEXT_CLSCNJ000_00022_SEQ_04,幻术是领悟身边的自然，并借助自然之力，带给周围变化的本领。将行会会长艾·斯密·雅恩的话铭记于心，作为一名幻术师继续锻炼之后，再拜访行会。<hex:02100103><hex:02100103>※幻术师的等级达到5级以上时，可以从艾·斯密·雅恩那里领取下一个幻术师任务。
5,TEXT_CLSCNJ000_00022_SEQ_05,
6,TEXT_CLSCNJ000_00022_SEQ_06,
7,TEXT_CLSCNJ000_00022_SEQ_07,
8,TEXT_CLSCNJ000_00022_SEQ_08,
9,TEXT_CLSCNJ000_00022_SEQ_09,
10,TEXT_CLSCNJ000_00022_SEQ_10,
11,TEXT_CLSCNJ000_00022_SEQ_11,
12,TEXT_CLSCNJ000_00022_SEQ_12,
13,TEXT_CLSCNJ000_00022_SEQ_13,
14,TEXT_CLSCNJ000_00022_SEQ_14,
15,TEXT_CLSCNJ000_00022_SEQ_15,
16,TEXT_CLSCNJ000_00022_SEQ_16,
17,TEXT_CLSCNJ000_00022_SEQ_17,
18,TEXT_CLSCNJ000_00022_SEQ_18,
19,TEXT_CLSCNJ000_00022_SEQ_19,
20,TEXT_CLSCNJ000_00022_SEQ_20,
21,TEXT_CLSCNJ000_00022_SEQ_21,
22,TEXT_CLSCNJ000_00022_SEQ_22,
23,TEXT_CLSCNJ000_00022_SEQ_23,
24,TEXT_CLSCNJ000_00022_TODO_00,和幻术师行会的艾·斯密·雅恩对话
25,TEXT_CLSCNJ000_00022_TODO_01,使用幻术讨伐松鼠
26,TEXT_CLSCNJ000_00022_TODO_02,使用幻术讨伐花甲虫
27,TEXT_CLSCNJ000_00022_TODO_03,使用幻术讨伐丛林魔菇
28,TEXT_CLSCNJ000_00022_TODO_04,和幻术师行会的艾·斯密·雅恩对话
29,TEXT_CLSCNJ000_00022_TODO_05,
30,TEXT_CLSCNJ000_00022_TODO_06,
31,TEXT_CLSCNJ000_00022_TODO_07,
32,TEXT_CLSCNJ000_00022_TODO_08,
33,TEXT_CLSCNJ000_00022_TODO_09,
34,TEXT_CLSCNJ000_00022_TODO_10,
35,TEXT_CLSCNJ000_00022_TODO_11,
36,TEXT_CLSCNJ000_00022_TODO_12,
37,TEXT_CLSCNJ000_00022_TODO_13,
38,TEXT_CLSCNJ000_00022_TODO_14,
39,TEXT_CLSCNJ000_00022_TODO_15,
40,TEXT_CLSCNJ000_00022_TODO_16,
41,TEXT_CLSCNJ000_00022_TODO_17,
42,TEXT_CLSCNJ000_00022_TODO_18,
43,TEXT_CLSCNJ000_00022_TODO_19,
44,TEXT_CLSCNJ000_00022_TODO_20,
45,TEXT_CLSCNJ000_00022_TODO_21,
46,TEXT_CLSCNJ000_00022_TODO_22,
47,TEXT_CLSCNJ000_00022_TODO_23,
48,TEXT_CLSCNJ000_00022_MADELLE_000_1,考虑得如何了？<hex:02100103>下定决心加入幻术师行会了吗？
49,TEXT_CLSCNJ000_00022_MADELLE_000_2,看来你还需要些时间想想。<hex:02100103>不必心急，请慢慢考虑。
50,TEXT_CLSCNJ000_00022_MADELLE_000_3,如果你还心存困惑，<hex:02100103>想必也无法领悟自然、操控幻术吧。<hex:02100103>等你下定决心后，再来找我交谈吧。
51,TEXT_CLSCNJ000_00022_MADELLE_000_5,明白了。<hex:02100103>那我为你介绍我们幻术师行会的会长<hex:02100103>艾·斯密·雅恩大人吧。
52,TEXT_CLSCNJ000_00022_MADELLE_000_6,艾·斯密·雅恩大人是幻术师行会的会长，<hex:02100103>同时还是引导这座城市的“法师”之一。
53,TEXT_CLSCNJ000_00022_MADELLE_000_7,那么，请前往里面的冥想修行场，<hex:02100103>将你的意愿传达给艾·斯密·雅恩大人吧。
54,TEXT_CLSCNJ000_00022_ESUMIYAN_000_10,欢迎你，冒险者。<hex:02100103>你是想加入幻术师行会吧？
55,TEXT_CLSCNJ000_00022_ESUMIYAN_000_11,我叫艾·斯密·雅恩。<hex:02100103>是幻术师行会的会长。
56,TEXT_CLSCNJ000_00022_ESUMIYAN_000_12,在欢迎你加入我们行会之前，<hex:02100103>请允许我先向你说明一下何为“幻术”。
57,TEXT_CLSCNJ000_00022_ESUMIYAN_000_13,幻术，可以说是一种灌注生命力的魔法。<hex:02100103>主要用于治疗创伤，并具有保护身体的效果。
58,TEXT_CLSCNJ000_00022_ESUMIYAN_000_14,像你这样身经百战的冒险者，<hex:02100103>如果作为“救治者”上阵，想必能发挥超凡的力量。<hex:02100103>不过，幻术的力量远远不止如此。
59,TEXT_CLSCNJ000_00022_ESUMIYAN_000_15,幻术还可以通过借助土、风、水等自然属性之力，<hex:02100103>引起破坏，发动攻击。
60,TEXT_CLSCNJ000_00022_ESUMIYAN_000_16,单说威力的话，自然不及以破坏见长的魔法——咒术，<hex:02100103>但和旗鼓相当的敌人战斗时，<hex:02100103>用幻术保护自己还是绰绰有余的。
61,TEXT_CLSCNJ000_00022_ESUMIYAN_000_17,老练的幻术师会把治愈和净化之力修炼到极致，<hex:02100103>不仅能救治因中毒而备受折磨的人，<hex:02100103>甚至还能使倒在血泊之中的伤者起死回生。
62,TEXT_CLSCNJ000_00022_ESUMIYAN_000_18,因此幻术师并非单纯的救治者或破坏者。<hex:02100103>合理地使用魔法支援同伴，让其发挥出最大的力量，<hex:02100103>这才是幻术师的价值所在。
63,TEXT_CLSCNJ000_00022_ESUMIYAN_000_19,对于现在的你来说或许还难以理解。<hex:02100103>所以目前还不需要你理解一切。<hex:02100103>等你成为一名幻术师之后，有朝一日自然会明白的……
64,TEXT_CLSCNJ000_00022_ESUMIYAN_000_20,你会明白幻术不单单是你一个人的力量……
65,TEXT_CLSCNJ000_00022_ESUMIYAN_000_21,如果你想加入幻术师行会的话，<hex:02100103>必须要向我保证，你会竭尽全力去领悟自然、接纳自然。
66,TEXT_CLSCNJ000_00022_Q1_000_1,你能保证去领悟自然吗？
67,TEXT_CLSCNJ000_00022_A1_000_1,是
68,TEXT_CLSCNJ000_00022_A1_000_2,否
69,TEXT_CLSCNJ000_00022_ESUMIYAN_000_25,这样啊……<hex:02100103>看来你还没有做好心理准备。
70,TEXT_CLSCNJ000_00022_ESUMIYAN_000_26,没做好相应的心理准备，是没有办法领悟自然的。<hex:02100103>等你准备完毕之后，再来与我交谈吧。<hex:02100103>我会在这里等着你。
