key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_SUBSEA007_00117_SEQ_00,俾斯麦餐厅的会计拉蒂莎想将吃霸王餐的人报官。
1,TEXT_SUBSEA007_00117_SEQ_01,拉蒂莎说，有人在俾斯麦餐厅吃霸王餐。为了向黄衫队汇报此事，首先要从尔·丝西莫那里得到犯人的画像。 
2,TEXT_SUBSEA007_00117_SEQ_02,将从尔·丝西莫那里得到的画像交给珊瑚塔里的戈多伯特。
3,TEXT_SUBSEA007_00117_SEQ_03,戈多伯特说，由于画像画得不好，因此无法作为参考。为了调查情况，让俾斯麦餐厅的尔·丝西莫去黄衫队一趟。
4,TEXT_SUBSEA007_00117_SEQ_04,难以辨别的画像正是出自尔·丝西莫之手。为了她着想，还是不要告诉她被传去黄衫队的真正原因了。
5,TEXT_SUBSEA007_00117_SEQ_05,
6,TEXT_SUBSEA007_00117_SEQ_06,
7,TEXT_SUBSEA007_00117_SEQ_07,
8,TEXT_SUBSEA007_00117_SEQ_08,
9,TEXT_SUBSEA007_00117_SEQ_09,
10,TEXT_SUBSEA007_00117_SEQ_10,
11,TEXT_SUBSEA007_00117_SEQ_11,
12,TEXT_SUBSEA007_00117_SEQ_12,
13,TEXT_SUBSEA007_00117_SEQ_13,
14,TEXT_SUBSEA007_00117_SEQ_14,
15,TEXT_SUBSEA007_00117_SEQ_15,
16,TEXT_SUBSEA007_00117_SEQ_16,
17,TEXT_SUBSEA007_00117_SEQ_17,
18,TEXT_SUBSEA007_00117_SEQ_18,
19,TEXT_SUBSEA007_00117_SEQ_19,
20,TEXT_SUBSEA007_00117_SEQ_20,
21,TEXT_SUBSEA007_00117_SEQ_21,
22,TEXT_SUBSEA007_00117_SEQ_22,
23,TEXT_SUBSEA007_00117_SEQ_23,
24,TEXT_SUBSEA007_00117_TODO_00,从尔·丝西莫那里领取犯人的画像
25,TEXT_SUBSEA007_00117_TODO_01,将犯人的画像交给戈多伯特
26,TEXT_SUBSEA007_00117_TODO_02,和尔·丝西莫对话
27,TEXT_SUBSEA007_00117_TODO_03,
28,TEXT_SUBSEA007_00117_TODO_04,
29,TEXT_SUBSEA007_00117_TODO_05,
30,TEXT_SUBSEA007_00117_TODO_06,
31,TEXT_SUBSEA007_00117_TODO_07,
32,TEXT_SUBSEA007_00117_TODO_08,
33,TEXT_SUBSEA007_00117_TODO_09,
34,TEXT_SUBSEA007_00117_TODO_10,
35,TEXT_SUBSEA007_00117_TODO_11,
36,TEXT_SUBSEA007_00117_TODO_12,
37,TEXT_SUBSEA007_00117_TODO_13,
38,TEXT_SUBSEA007_00117_TODO_14,
39,TEXT_SUBSEA007_00117_TODO_15,
40,TEXT_SUBSEA007_00117_TODO_16,
41,TEXT_SUBSEA007_00117_TODO_17,
42,TEXT_SUBSEA007_00117_TODO_18,
43,TEXT_SUBSEA007_00117_TODO_19,
44,TEXT_SUBSEA007_00117_TODO_20,
45,TEXT_SUBSEA007_00117_TODO_21,
46,TEXT_SUBSEA007_00117_TODO_22,
47,TEXT_SUBSEA007_00117_TODO_23,
48,TEXT_SUBSEA007_00117_LATISHA_000_0,就算我们全心全意为客人提供美食，<hex:02100103>但仍有一些客人不明事理……<hex:02100103>是这样的，之前有人在这里吃霸王餐。
49,TEXT_SUBSEA007_00117_LATISHA_000_1,请您从烹调师尔·丝西莫那里拿到犯人的画像，<hex:02100103>之后报告给黄衫队。
50,TEXT_SUBSEA007_00117_RSUSHMO_000_10,吃完我们用心制作的菜肴，竟然不付钱，<hex:02100103>我绝不原谅这种吃霸王餐的人！
51,TEXT_SUBSEA007_00117_RSUSHMO_000_11,"你去珊瑚塔,<hex:02100103>把这犯人的画像交给那里一个叫戈多伯特的黄衫队的人。"
52,TEXT_SUBSEA007_00117_TALK_SCENE00003_000,
53,TEXT_SUBSEA007_00117_GODEBERT_000_20,你拿来了俾斯麦餐厅提供的犯人的画像？
54,TEXT_SUBSEA007_00117_GODEBERT_000_21,这、这画像也太……<hex:02100103>既然他们报警了，我们便会全力以赴追查犯人。<hex:02100103>这就是我们黄衫队的职责。
55,TEXT_SUBSEA007_00117_GODEBERT_000_22,但是……虽说他们提供了画像，可这画的是什么啊？<hex:02100103>到底是人族还是拉拉菲尔族，还是鲁加族啊？<hex:02100103>这连民族都看不出来。
56,TEXT_SUBSEA007_00117_GODEBERT_000_23,这样下去就破不了案了，<hex:02100103>还是直接问她本人吧。<hex:02100103>你让尔·丝西莫来我这里一趟。
57,TEXT_SUBSEA007_00117_TALK_SCENE00005_000,
58,TEXT_SUBSEA007_00117_RSUSHMO_000_30,你将画像交上去了啊？辛苦你了。<hex:02100103>这样一来犯人就没得跑了！<hex:02100103>我除了做饭，第二拿手的就是画画了！
59,TEXT_SUBSEA007_00117_RSUSHMO_000_31,……什么？<hex:02100103>让我去黄衫队一趟？
60,TEXT_SUBSEA007_00117_RSUSHMO_000_32,还有什么好跟他们说的呢……<hex:02100103>有了我画的杰作，我认为就不需要别的情报了呀。
