key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_STMBDZ821_02849_SEQ_00,辐射村的加热罗斯·加尔想要为新的生意做准备。
1,TEXT_STMBDZ821_02849_SEQ_01,
2,TEXT_STMBDZ821_02849_SEQ_02,
3,TEXT_STMBDZ821_02849_SEQ_03,
4,TEXT_STMBDZ821_02849_SEQ_04,
5,TEXT_STMBDZ821_02849_SEQ_05,
6,TEXT_STMBDZ821_02849_SEQ_06,
7,TEXT_STMBDZ821_02849_SEQ_07,
8,TEXT_STMBDZ821_02849_SEQ_08,
9,TEXT_STMBDZ821_02849_SEQ_09,
10,TEXT_STMBDZ821_02849_SEQ_10,
11,TEXT_STMBDZ821_02849_SEQ_11,
12,TEXT_STMBDZ821_02849_SEQ_12,
13,TEXT_STMBDZ821_02849_SEQ_13,
14,TEXT_STMBDZ821_02849_SEQ_14,
15,TEXT_STMBDZ821_02849_SEQ_15,
16,TEXT_STMBDZ821_02849_SEQ_16,
17,TEXT_STMBDZ821_02849_SEQ_17,
18,TEXT_STMBDZ821_02849_SEQ_18,
19,TEXT_STMBDZ821_02849_SEQ_19,
20,TEXT_STMBDZ821_02849_SEQ_20,
21,TEXT_STMBDZ821_02849_SEQ_21,
22,TEXT_STMBDZ821_02849_SEQ_22,
23,TEXT_STMBDZ821_02849_SEQ_23,
24,TEXT_STMBDZ821_02849_TODO_00,在<hex:02280CFF05>EObj<hex:F61EA7150103>使用<hex:022811FF0A>EventItem<hex:F61E8DAD0103><hex:02100103>从<hex:02280FFF09>BNpcName<hex:F217030103>身上获取<hex:022811FF0A>EventItem<hex:F61E8DAC0103>
25,TEXT_STMBDZ821_02849_TODO_01,将<hex:022811FF0A>EventItem<hex:F61E8DAC0103>交给加热罗斯·加尔
26,TEXT_STMBDZ821_02849_TODO_02,
27,TEXT_STMBDZ821_02849_TODO_03,
28,TEXT_STMBDZ821_02849_TODO_04,
29,TEXT_STMBDZ821_02849_TODO_05,
30,TEXT_STMBDZ821_02849_TODO_06,
31,TEXT_STMBDZ821_02849_TODO_07,
32,TEXT_STMBDZ821_02849_TODO_08,
33,TEXT_STMBDZ821_02849_TODO_09,
34,TEXT_STMBDZ821_02849_TODO_10,
35,TEXT_STMBDZ821_02849_TODO_11,
36,TEXT_STMBDZ821_02849_TODO_12,
37,TEXT_STMBDZ821_02849_TODO_13,
38,TEXT_STMBDZ821_02849_TODO_14,
39,TEXT_STMBDZ821_02849_TODO_15,
40,TEXT_STMBDZ821_02849_TODO_16,
41,TEXT_STMBDZ821_02849_TODO_17,
42,TEXT_STMBDZ821_02849_TODO_18,
43,TEXT_STMBDZ821_02849_TODO_19,
44,TEXT_STMBDZ821_02849_TODO_20,
45,TEXT_STMBDZ821_02849_TODO_21,
46,TEXT_STMBDZ821_02849_TODO_22,
47,TEXT_STMBDZ821_02849_TODO_23,
48,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_000,你是艾欧泽亚同盟军的人吗？<hex:02100103>谢谢你将辐射村从帝国的支配中解放出来！
49,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_001,正如你所知，我们为了生活，<hex:02100103>不得不低着头为帝国打杂办事，<hex:02100103>不过，帝国走了之后，我们也要寻找新的糊口方法才行。
50,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_002,所以我想请你帮我个忙。<hex:02100103>能否请你从<hex:02280FFF09>BNpcName<hex:F217030103>身上把<hex:02100103><hex:022811FF0A>EventItem<hex:F61E8DAC0103>拿回来呢？
51,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_003,只要将这个<hex:022811FF0A>EventItem<hex:F61E8DAD0103>撒在地图标记的位置附近，<hex:02100103>就会有<hex:02280FFF09>BNpcName<hex:F217030103>顺着它的味道出现了。
52,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_004,这是我的新生意必须要用到的东西，<hex:02100103>可是仅凭我的力量是无法获取的……<hex:02100103>所以，拜托你了。
53,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_010,请从<hex:02280FFF09>BNpcName<hex:F217030103>身上拿回<hex:022811FF0A>EventItem<hex:F61E8DAC0103>。<hex:02100103>只要在地图标记的附近撒上这个<hex:022811FF0A>EventItem<hex:F61E8DAD0103>，<hex:02100103>就会有<hex:02280FFF09>BNpcName<hex:F217030103>顺着味道出现了。
54,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_020,拿回<hex:022811FF0A>EventItem<hex:F61E8DAC0103>了吗？
55,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_030,好、好美……<hex:02100103>光线交错复杂地反射着，简直就像宝石一般，<hex:02100103>只要有了这个鳞粉，就能制作魔法棱晶了……
56,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_031,其实我之前是在帝国的设施做清扫工作的。<hex:02100103>虽然你可能觉得是件谁都能做的工作，<hex:02100103>不过有时候会要你去清扫同胞的鲜血……
57,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_032,现在，我终于从帝国军手中解放了出来，<hex:02100103>今后我要做一些让人们感到幸福的东西……<hex:02100103>为此，我才会麻烦你帮我去搞这个鳞粉。
58,TEXT_STMBDZ821_02849_GARRULOUSGALL_000_033,真是谢谢你了。<hex:02100103>我会在这里为你献上祈祷，<hex:02100103>祝愿你的未来一片光明。
