key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_BANKJN501_02991_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整（限定职业）<hex:0249020103><hex:0248020103><hex:02100103>※本任务需要与接受任务时的职业相同才可继续进行任务。<hex:02100103><hex:02100103>碧玉水的头巾想要为某段恋情推波助澜。
1,TEXT_BANKJN501_02991_SEQ_01,
2,TEXT_BANKJN501_02991_SEQ_02,
3,TEXT_BANKJN501_02991_SEQ_03,
4,TEXT_BANKJN501_02991_SEQ_04,
5,TEXT_BANKJN501_02991_SEQ_05,
6,TEXT_BANKJN501_02991_SEQ_06,
7,TEXT_BANKJN501_02991_SEQ_07,
8,TEXT_BANKJN501_02991_SEQ_08,
9,TEXT_BANKJN501_02991_SEQ_09,
10,TEXT_BANKJN501_02991_SEQ_10,
11,TEXT_BANKJN501_02991_SEQ_11,
12,TEXT_BANKJN501_02991_SEQ_12,
13,TEXT_BANKJN501_02991_SEQ_13,
14,TEXT_BANKJN501_02991_SEQ_14,
15,TEXT_BANKJN501_02991_SEQ_15,
16,TEXT_BANKJN501_02991_SEQ_16,
17,TEXT_BANKJN501_02991_SEQ_17,
18,TEXT_BANKJN501_02991_SEQ_18,
19,TEXT_BANKJN501_02991_SEQ_19,
20,TEXT_BANKJN501_02991_SEQ_20,
21,TEXT_BANKJN501_02991_SEQ_21,
22,TEXT_BANKJN501_02991_SEQ_22,
23,TEXT_BANKJN501_02991_SEQ_23,
24,TEXT_BANKJN501_02991_TODO_00,前往水下年轻的斑鳐身边<hex:02100103>用恋爱水泡射击魅力四射的斑鳐
25,TEXT_BANKJN501_02991_TODO_01,向头巾报告
26,TEXT_BANKJN501_02991_TODO_02,
27,TEXT_BANKJN501_02991_TODO_03,
28,TEXT_BANKJN501_02991_TODO_04,
29,TEXT_BANKJN501_02991_TODO_05,
30,TEXT_BANKJN501_02991_TODO_06,
31,TEXT_BANKJN501_02991_TODO_07,
32,TEXT_BANKJN501_02991_TODO_08,
33,TEXT_BANKJN501_02991_TODO_09,
34,TEXT_BANKJN501_02991_TODO_10,
35,TEXT_BANKJN501_02991_TODO_11,
36,TEXT_BANKJN501_02991_TODO_12,
37,TEXT_BANKJN501_02991_TODO_13,
38,TEXT_BANKJN501_02991_TODO_14,
39,TEXT_BANKJN501_02991_TODO_15,
40,TEXT_BANKJN501_02991_TODO_16,
41,TEXT_BANKJN501_02991_TODO_17,
42,TEXT_BANKJN501_02991_TODO_18,
43,TEXT_BANKJN501_02991_TODO_19,
44,TEXT_BANKJN501_02991_TODO_20,
45,TEXT_BANKJN501_02991_TODO_21,
46,TEXT_BANKJN501_02991_TODO_22,
47,TEXT_BANKJN501_02991_TODO_23,
48,TEXT_BANKJN501_02991_ZUKIN_000_000,<hex:022903EB0203><hex:020813E905FF07>大姐<hex:FF07>大哥<hex:03>，总算到了——！<hex:02100103>斑鳐们恋爱的季节总算到了——！<hex:02100103>因此，这次希望你能为它们的恋情出一份力——！
49,TEXT_BANKJN501_02991_ZUKIN_000_001,雄性斑鳐会对中意的雌性斑鳐放出带有<hex:02100103>香甜气味的“恋爱水泡”以示爱意——<hex:02100103>但是，可能是年轻的雄斑鳐缺乏勇气，所以总是无法成功——
50,TEXT_BANKJN501_02991_ZUKIN_000_002,因此，希望<hex:020813E905FF07>大姐<hex:FF07>大哥<hex:03>你能帮年轻的斑鳐一把——<hex:02100103>它正在发呆的地点我给你标到地图上，拜托你了啊——
51,TEXT_BANKJN501_02991_ZUKIN_000_003,（★未使用／削除予定★）
52,TEXT_BANKJN501_02991_SYSTEM_000_011,开始引导年轻的斑鳐。<hex:02100103>如果发现了魅力四射的斑鳐，在缩放、瞄准后<hex:02100103>按下<hex:020835E4E95101FF1C><hex:024804F2022203>鼠标左键<hex:0248020103><hex:FF12><hex:021E021003>键/<hex:021E020903>键<hex:03>发射恋爱水泡！
53,TEXT_BANKJN501_02991_ATTENDANT02991_000_012,哎呀——，虽然恋爱水泡是射中了，<hex:02100103>但射中的目标却不怎么理想啊——<hex:02100103>那孩子已经拒绝好几只雄性斑鳐的求爱了——
54,TEXT_BANKJN501_02991_ATTENDANT02991_000_013,嗯——，普通的办法对那个孩子是行不通的呢——<hex:02100103>年轻的斑鳐都已经那么努力地射出恋爱水泡了，<hex:02100103>对方却只有一丁点反应——
55,TEXT_BANKJN501_02991_ATTENDANT02991_000_014,你干得真漂亮——！<hex:02100103>那只小斑鳐，看起来很兴奋——！<hex:02100103>这肯定是恋爱水泡起作用了——！
56,TEXT_BANKJN501_02991_ATTENDANT02991_000_015,现在那孩子已经游走了，<hex:02100103>已经没法再对它用恋爱水泡了呢——
57,TEXT_BANKJN501_02991_ATTENDANT02991_100_015,不过下次一定会更加顺利的——！<hex:02100103>我会继续替它加油，欢迎你今后再来帮忙——！
58,TEXT_BANKJN501_02991_ATTENDANT02991_000_016,我在替斑鳐们的恋爱加油——！<hex:02100103>但是，总是还差那么一点点的样子——<hex:02100103>请你也来帮助年轻的斑鳐，让它射出恋爱水泡吧——！
59,TEXT_BANKJN501_02991_ZUKIN_000_022,十分感谢你的帮忙——<hex:02100103><hex:020813E905FF07>大姐<hex:FF07>大哥<hex:03>你帮助它发射的恋爱水泡，<hex:02100103>肯定会成为对它的将来帮助巨大的一大泡——
60,TEXT_BANKJN501_02991_ZUKIN_000_023,斑鳐们的恋情，是不会这么简单就开花结果的，<hex:02100103>但是不积跬步，无以至千里——<hex:02100103>只能通过不断实践，来逐渐给它凝聚自信了——
61,TEXT_BANKJN501_02991_ZUKIN_000_024,斑鳐们是我们寻宝时重要的搭档，<hex:02100103>必须要促成它们的恋情，使它们繁衍后代——<hex:02100103><hex:020813E905FF07>大姐<hex:FF07>大哥<hex:03>，下次也要帮忙哦——
62,TEXT_BANKJN501_02991_SYSTEM_000_025,年轻的斑鳐静静地凝视着魅力四射的斑鳐离去的方向……
63,TEXT_BANKJN501_02991_ATTENDANT02991_000_026,下次一定会更加顺利的——！<hex:02100103>我会继续替它加油，欢迎你今后再来帮忙——！
