65,"TEXT_KINGWZ404_05489_HINAGESHI_000_018","拜托了！我和露露夏教授都对城市遗迹很感兴趣，<hex:02100103>也想听听在探索亲历者的视角下，<hex:02100103>这个星球的文化是什么样的！"
66,"TEXT_KINGWZ404_05489_JUDE_000_019","听说奥克塞西亚是魔法文明，<hex:02100103>我想去参观他们的以太机构，说不定可以推进观星镜的研究……<hex:02100103>我们第一站打算去“末叶塔”，请多多指教！"
67,"TEXT_KINGWZ404_05489_THEORIZINGWAY_000_020","请你陪同从魔法大学前来的三人参观，<hex:02100103>并从计划参与者的角度为他们介绍一下吧！<hex:02100103>他们的第一站似乎是苍石林班的“末叶塔”。"
68,"TEXT_KINGWZ404_05489_HINAGESHI_000_030","如此高耸的……既像塔又像树的建筑居然是个巨型终端！<hex:02100103>如果教授来了，会关注哪里呢？"
69,"TEXT_KINGWZ404_05489_RURUSHA_000_031","据说探索队刚到时，这里被一片绿色覆盖，也没有桥。<hex:02100103>在这里开路一定花了不少工夫吧？看得出来，遗迹被保护的很好，<hex:02100103>复原工作也做得不错……身为考古工作者，婆婆很感激。"
70,"TEXT_KINGWZ404_05489_JUDE_000_032","<hex:022903EB0203>，谢谢你愿意陪我们！<hex:02100103>说起来，我最关心的还是这个星球的文明，也就是操控以太的技术。"
71,"TEXT_KINGWZ404_05489_JUDE_000_033","之前我也提过了，我和热罗梅尔一起在法恩娜行星<hex:02100103>参与了观星镜的观测工作，<hex:02100103>还用我们的观星镜分析了候补星球的以太！"
72,"TEXT_KINGWZ404_05489_JUDE_000_034","当时我们学到了一个观测的关键点：那些环境适合探索的星球，<hex:02100103>覆盖其的以太具有特殊的性质。<hex:02100103>我们在观测图像中见到的包裹着俄匊斯行星的以太也十分独特。"
73,"TEXT_KINGWZ404_05489_JUDE_000_035","而奥克塞西亚的以太波形尤为突出，活跃得像要溢出来一样……<hex:02100103>这座塔一样的建筑看起来是由树木构成，<hex:02100103>我想它应该是城市以太回路循环的重要节点？"
74,"TEXT_KINGWZ404_05489_Q1_000_000","要说什么？"
75,"TEXT_KINGWZ404_05489_A1_000_001","改造环境都是靠魔法完成的，不需要土木工程"
76,"TEXT_KINGWZ404_05489_A1_000_002","塔是遍布星球的网络的关键节点"
77,"TEXT_KINGWZ404_05489_JUDE_000_037","原来如此，既是文明的象征，又是地脉流动的节点……<hex:02100103>没想到我们在远方观测到的东西，竟是人为创造出来的！"
78,"TEXT_KINGWZ404_05489_RURUSHA_000_038","这也是我对这个星球的文明最感兴趣的地方。<hex:02100103>施术者用魔法操纵万物，将星球与都市环境一体化的同时，<hex:02100103>又利用自然来塑造都市。"
79,"TEXT_KINGWZ404_05489_RURUSHA_000_039","我与纳摩诺教授为探索计划提供了技术支持。<hex:02100103>那项技术是我们在研究黄金恰塔号时使用的<hex:02100103>基于以太变换实现的文明解析技术。"
80,"TEXT_KINGWZ404_05489_RURUSHA_000_040","虽然具体应用方式有所不同，<hex:02100103>但这项技术在解析俄匊斯行星的水晶体机构，<hex:02100103>以及这颗星球的遗迹中获得的情报等方面都派上了用场。"
81,"TEXT_KINGWZ404_05489_RURUSHA_000_041","如果我们能主动掌握这个星球遗留的语言，<hex:02100103>而不是单纯依靠原住民的集体意识讲述，<hex:02100103>说不定可以大幅推进研究进展了呢。"
82,"TEXT_KINGWZ404_05489_JUDE_000_042","是啊，如果我和热罗梅尔，还有各个领域的人才<hex:02100103>都有机会将自己的研究活用在宇宙探索中的话……<hex:02100103>真是想想就觉得无限光荣呢！"
83,"TEXT_KINGWZ404_05489_HINAGESHI_000_043","我们的下一个目的地是萌动市区一带。<hex:02100103>我要以文化学的角度，好好地观察一下这个星球！"
84,"TEXT_KINGWZ404_05489_THEORIZINGWAY_000_049","请你陪同从魔法大学前来的三人参观，<hex:02100103>并从计划参与者的角度为他们介绍一下吧！<hex:02100103>他们似乎对萌动市区也挺感兴趣的。"
85,"TEXT_KINGWZ404_05489_JUDE_000_050","如此多样的建筑物……<hex:02100103>这个星球过去的文明说不定比亚伊太利斯还要发达！<hex:02100103>可惜热罗梅尔被教授抓着没能过来，真想让他也看看啊。"
86,"TEXT_KINGWZ404_05489_RURUSHA_000_051","我听说这里的居民已经消失了数万年，<hex:02100103>但看这些遗迹的保存状态却出奇的好……<hex:02100103>我也想让博里克看看呢。"
87,"TEXT_KINGWZ404_05489_HINAGESHI_000_052","嘿嘿，我一眼就看出了这里是什么地方！"
88,"TEXT_KINGWZ404_05489_HINAGESHI_100_052","这里一定是原住民的居住区。<hex:02100103>远离大型机构，专为生活划定的区域！"
89,"TEXT_KINGWZ404_05489_HINAGESHI_000_053","与其他设施相比，这里的建筑风格截然不同。<hex:02100103>由多面树脂玻璃窗构成的类似温室的室内空间，<hex:02100103>明显是为了追求舒适。"
90,"TEXT_KINGWZ404_05489_HINAGESHI_000_054","通过那些遗物，想象当时这里人们的生活的情景……<hex:02100103>等会我一定要去找迪莉斯好好聊聊。<hex:02100103>呵呵，我的研究欲都要压不住了！"
91,"TEXT_KINGWZ404_05489_HINAGESHI_000_055","<hex:022903EB0203>怎么那副表情？<hex:02100103>我好歹也是断金教授的搭档，自然也有热爱研究的一面啦！"
92,"TEXT_KINGWZ404_05489_RURUSHA_000_056","呵呵，一到实地考察就两眼冒光，<hex:02100103>也算是我们这些学者的共通点吧。<hex:02100103>雏芥子从下飞船起就兴奋得不行，我看着都开心。"
93,"TEXT_KINGWZ404_05489_RURUSHA_000_057","这个遗迹看起来需要考古学和文化学联合考察。<hex:02100103>遗迹内部的保存状态不错，如果能弄清楚详细的编年，<hex:02100103>想必也能推进遗物的调查。"
94,"TEXT_KINGWZ404_05489_JUDE_000_058","城内的以太回路在生活中发挥着什么样的作用呢……<hex:02100103>从这个角度看，说不定天文系也能参与研究呢。<hex:02100103>热罗梅尔懂得多，要是他在，可能会有更有趣的感想。"
95,"TEXT_KINGWZ404_05489_HINAGESHI_000_063","那下次有机会也带他过来吧？<hex:02100103>把这次的调查结果带回去后，<hex:02100103>我准备和断金教授一起再现外星文化！"
96,"TEXT_KINGWZ404_05489_RURUSHA_000_059","那我们就再在这一带参观一会，收集些情报吧。<hex:02100103><hex:022903EB0203>就先去忙吧，我们结束后就回基地找理明威。"
97,"TEXT_KINGWZ404_05489_RURUSHA_000_060","我们再在这一带参观一会，收集些情报。<hex:02100103><hex:022903EB0203>就先去忙吧，我们结束后就回基地找理明威。"
98,"TEXT_KINGWZ404_05489_HINAGESHI_000_061","虽然教授正忙着准备学会，不过真想让他也过来看看呢！<hex:02100103>不知道他会有什么感想呢？"
99,"TEXT_KINGWZ404_05489_HINAGESHI_100_061","对了，我已经找到最合适的纪念品……啊不，样本了，<hex:02100103>是一种心形的新植物！不知教授会喜欢吗？"
100,"TEXT_KINGWZ404_05489_JUDE_000_062","虽然我在考古学和文化学上完全是外行，<hex:02100103>但听她们从专业角度抒发感想，我也能学到一些东西！<hex:02100103>等回去了，我要好好跟热罗梅尔炫耀一下！"
101,"TEXT_KINGWZ404_05489_THEORIZINGWAY_000_070","<hex:022903EB0203>，欢迎回来！<hex:02100103>魔法大学的几位还要参观一阵，我们再等一会吧。"
102,"TEXT_KINGWZ404_05489_THEORIZINGWAY_000_071","大家都回来了！<hex:02100103>这趟奥克塞西亚行星的学术之旅怎么样？"
103,"TEXT_KINGWZ404_05489_RURUSHA_000_072","了解了不少新东西呢！<hex:02100103>之前虽也看过那些通过新型探索仪器拍摄的图像，<hex:02100103>但亲身行走在其中，才能感受到这里的城市规模究竟有多么大。"
104,"TEXT_KINGWZ404_05489_RURUSHA_000_073","何况，唯有亲自踏上前人遗留的道路，<hex:02100103>才能听到往日人群留下的余音。"
105,"TEXT_KINGWZ404_05489_RURUSHA_000_074","将过去的事情在心中再现演绎……便是考古学的起始点。<hex:02100103>这趟旅程让我重返自己研究的原点，<hex:02100103>是一次珍贵的启发之旅。"
106,"TEXT_KINGWZ404_05489_HINAGESHI_000_075","我也是！<hex:02100103>虽然我们文化系对探索计划的协助仅限于迪莉斯的研究……"
107,"TEXT_KINGWZ404_05489_HINAGESHI_000_076","我们刚刚参观的那些遗迹，应该只是这颗星球历史的沧海一粟。<hex:02100103>就像我们研究的亚伊太利斯的多样文化一样，<hex:02100103>我相信沉睡在这颗星球的文明，一定也有各种超乎想象的文化！"
108,"TEXT_KINGWZ404_05489_HINAGESHI_000_077","这样一想，我就觉得自己浑身是劲，<hex:02100103>想回到亚伊太利斯重新把我们的研究再深入一下呢！<hex:02100103>嘿嘿，看到我这么有干劲，断金教授也会吃惊吧！"
109,"TEXT_KINGWZ404_05489_JUDE_000_078","我……虽然我之前获得了去法恩娜行星那边帮忙的机会，<hex:02100103>但也没想到能来到与自己的发现稍有关联的星球，<hex:02100103>这感觉太奇妙了。"
110,"TEXT_KINGWZ404_05489_JUDE_000_079","或许在我们探抬头仰望的万千繁星之上，<hex:02100103>也有同样望向天空的人……即便是纳古尔维这样陷入沉睡的种族，<hex:02100103>过去一定也有眺望星空的时刻。"
111,"TEXT_KINGWZ404_05489_JUDE_000_080","这次旅程，也让我重新回顾了我与热罗梅尔研究的初心，<hex:02100103>今后我也会带着这种想要探索星空的急切心情，<hex:02100103>继续在我们的研究之路上走下去。"
112,"TEXT_KINGWZ404_05489_THEORIZINGWAY_000_081","嗯嗯，听大家讲了这么多从星球的实地考察中获得的感想，<hex:02100103>我也受益良多、深感欣慰！"
113,"TEXT_KINGWZ404_05489_THEORIZINGWAY_000_082","在探索了3个外星之后，<hex:02100103>“深宇宙探查学”的发展已经逐渐步入正轨。"
114,"TEXT_KINGWZ404_05489_THEORIZINGWAY_000_083","而这门学问能发展到如今，<hex:02100103>离不开像袭德这样不断追索未知的人才！"
115,"TEXT_KINGWZ404_05489_RURUSHA_000_084","看来回去之后，得和上次来参观的茶·拉恰和德布罗依见一面，<hex:02100103>讨论一下设立“宇宙系”的事宜了。"
116,"TEXT_KINGWZ404_05489_JUDE_000_085","宇宙系！听起来就很引人！<hex:02100103>而且要研究宇宙，涉及的学科众多，到时候场面一定很热闹，<hex:02100103>热罗梅尔那家伙一定不会错过的！"
117,"TEXT_KINGWZ404_05489_HINAGESHI_000_086","只要有断金教授在，让我去什么系都可以！<hex:02100103>不过，一边仰望星空，一边讨论宇宙尽头的奥秘……<hex:02100103>深宇宙探查学真是个浪漫的学问呢！"
118,"TEXT_KINGWZ404_05489_SEARCHINGWAY_000_087","各位！欢迎欢迎！<hex:02100103>大家千里迢迢来到奥克塞西亚行星，<hex:02100103>有没有看到什么有趣的东西？"
119,"TEXT_KINGWZ404_05489_RURUSHA_000_088","哎呀，好久不见了啊，<hex:02100103>查明威！"
120,"TEXT_KINGWZ404_05489_HINAGESHI_000_089","呼……奇伊·阿里亚珀和我说过，<hex:02100103>人这辈子一定要摸一次兔兔族的耳朵！<hex:02100103>我就摸一下，拜托了……！"
121,"TEXT_KINGWZ404_05489_SEARCHINGWAY_000_090","诶？！大家感兴趣的是我们兔兔族的耳朵吗？！"
