key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_LUCKHT012_03893_SEQ_00,<hex:024804F201F603><hex:024904F201F703>特殊规则： 职业固定<hex:0249020103><hex:0248020103><hex:02100103>天钢机工房附近的妮米想要改良天钢工具。
1,TEXT_LUCKHT012_03893_SEQ_01,※本任务为<hex:024804F201F603><hex:024904F201F703><hex:0249020103><hex:0248020103> 职业固定任务，<hex:02100103>　需要与接受任务时的职业相同才可继续进行任务。<hex:02100103><hex:02100103>只要将材料交给天钢机工房的德尼斯，他就能准备出改良天钢工具所需要的零件。将改良所需的材料和背包或兵装库里的天钢工具交给天钢机工房附近的妮米，拜托她进行下一阶段的改良。
2,TEXT_LUCKHT012_03893_SEQ_02,天钢工具的改良工作进展到了第4阶段。为了进一步提升工具的性能，与内耶马尔等人一起继续改良天钢工具。
3,TEXT_LUCKHT012_03893_SEQ_03,
4,TEXT_LUCKHT012_03893_SEQ_04,
5,TEXT_LUCKHT012_03893_SEQ_05,
6,TEXT_LUCKHT012_03893_SEQ_06,
7,TEXT_LUCKHT012_03893_SEQ_07,
8,TEXT_LUCKHT012_03893_SEQ_08,
9,TEXT_LUCKHT012_03893_SEQ_09,
10,TEXT_LUCKHT012_03893_SEQ_10,
11,TEXT_LUCKHT012_03893_SEQ_11,
12,TEXT_LUCKHT012_03893_SEQ_12,
13,TEXT_LUCKHT012_03893_SEQ_13,
14,TEXT_LUCKHT012_03893_SEQ_14,
15,TEXT_LUCKHT012_03893_SEQ_15,
16,TEXT_LUCKHT012_03893_SEQ_16,
17,TEXT_LUCKHT012_03893_SEQ_17,
18,TEXT_LUCKHT012_03893_SEQ_18,
19,TEXT_LUCKHT012_03893_SEQ_19,
20,TEXT_LUCKHT012_03893_SEQ_20,
21,TEXT_LUCKHT012_03893_SEQ_21,
22,TEXT_LUCKHT012_03893_SEQ_22,
23,TEXT_LUCKHT012_03893_SEQ_23,
24,TEXT_LUCKHT012_03893_TODO_00,卸下<hex:0208F20121E4E80509FF0F><hex:02280BFF05>Item<hex:F273C20103><hex:FFF20109><hex:0208F20103E4E8050AFF0F><hex:02280BFF05>Item<hex:F273C30103><hex:FFF0EC><hex:0208F0E7E4E8050BFF0F><hex:02280BFF05>Item<hex:F273C40103><hex:FFF0D0><hex:0208CDE4E8050CFF0F><hex:02280BFF05>Item<hex:F273C50103><hex:FFB7><hex:0208B3E4E8050DFF0F><hex:02280BFF05>Item<hex:F273C60103><hex:FF9D><hex:020899E4E8050EFF0F><hex:02280BFF05>Item<hex:F273C70103><hex:FF83><hex:02087FE4E8050FFF0F><hex:02280BFF05>Item<hex:F273C80103><hex:FF69><hex:020865E4E80510FF0F><hex:02280BFF05>Item<hex:F273C90103><hex:FF4F><hex:02084BE4E80511FF0F><hex:02280BFF05>Item<hex:F273CB0103><hex:FF35><hex:020831E4E80512FF0F><hex:02280BFF05>Item<hex:F273CA0103><hex:FF1B><hex:020817E4E80513FF0F><hex:02280BFF05>Item<hex:F273CC0103><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>放入兵装库或背包<hex:02100103><hex:0208F202BAE4E80509FF32>收集<hex:024804F2023B03><hex:024904F2023C03>90个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F2766B0103><hex:FFF2027F><hex:0208F20279E4E8050AFF32>收集<hex:024804F2023B03><hex:024904F2023C03>90个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F2766D0103><hex:FFF2023E><hex:0208F20238E4E8050BFF32>收集<hex:024804F2023B03><hex:024904F2023C03>90个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F2766F0103><hex:FFF201FD><hex:0208F201F7E4E8050CFF32>收集<hex:024804F2023B03><hex:024904F2023C03>90个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F276710103><hex:FFF201BC><hex:0208F201B6E4E8050DFF32>收集<hex:024804F2023B03><hex:024904F2023C03>90个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F276730103><hex:FFF2017B><hex:0208F20175E4E8050EFF32>收集<hex:024804F2023B03><hex:024904F2023C03>90个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F276750103><hex:FFF2013A><hex:0208F20134E4E8050FFF32>收集<hex:024804F2023B03><hex:024904F2023C03>90个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F276770103><hex:FFF0FA><hex:0208F0F5E4E80510FF32>收集<hex:024804F2023B03><hex:024904F2023C03>90个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F276790103><hex:FFBD><hex:0208B9E4E80511FF35>收集<hex:024804F2023B03><hex:024904F2023C03>50个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F2767F0103>和<hex:FF7D><hex:020879E4E80512FF35>收集<hex:024804F2023B03><hex:024904F2023C03>50个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F2767B0103>和<hex:FF3D><hex:020839E4E80513FF31>收集<hex:024804F2023B03><hex:024904F2023C03>6个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F276830103><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:02100103><hex:020875E4E80511FF31><hex:024804F2023B03><hex:024904F2023C03>180个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F279980103><hex:02100103><hex:FF3D><hex:020839E4E80512FF31><hex:024804F2023B03><hex:024904F2023C03>180个<hex:0249020103><hex:0248020103><hex:02280BFF05>Item<hex:F279960103><hex:02100103><hex:FF01><hex:03><hex:03>交给天钢机工房附近的妮米
25,TEXT_LUCKHT012_03893_TODO_01,
26,TEXT_LUCKHT012_03893_TODO_02,
27,TEXT_LUCKHT012_03893_TODO_03,
28,TEXT_LUCKHT012_03893_TODO_04,
29,TEXT_LUCKHT012_03893_TODO_05,
30,TEXT_LUCKHT012_03893_TODO_06,
31,TEXT_LUCKHT012_03893_TODO_07,
32,TEXT_LUCKHT012_03893_TODO_08,
33,TEXT_LUCKHT012_03893_TODO_09,
34,TEXT_LUCKHT012_03893_TODO_10,
35,TEXT_LUCKHT012_03893_TODO_11,
36,TEXT_LUCKHT012_03893_TODO_12,
37,TEXT_LUCKHT012_03893_TODO_13,
38,TEXT_LUCKHT012_03893_TODO_14,
39,TEXT_LUCKHT012_03893_TODO_15,
40,TEXT_LUCKHT012_03893_TODO_16,
41,TEXT_LUCKHT012_03893_TODO_17,
42,TEXT_LUCKHT012_03893_TODO_18,
43,TEXT_LUCKHT012_03893_TODO_19,
44,TEXT_LUCKHT012_03893_TODO_20,
45,TEXT_LUCKHT012_03893_TODO_21,
46,TEXT_LUCKHT012_03893_TODO_22,
47,TEXT_LUCKHT012_03893_TODO_23,
