key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_000,
1,TEXT_FESVLT2024GUIDE_00844_Q1_000_001,
2,TEXT_FESVLT2024GUIDE_00844_A1_000_001,
3,TEXT_FESVLT2024GUIDE_00844_A1_000_002,
4,TEXT_FESVLT2024GUIDE_00844_A1_000_003,
5,TEXT_FESVLT2024GUIDE_00844_A1_000_004,
6,TEXT_FESVLT2024GUIDE_00844_A1_000_005,
7,TEXT_FESVLT2024GUIDE_00844_A1_000_006,
8,TEXT_FESVLT2024GUIDE_00844_A1_000_007,
9,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_010,
10,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_011,
11,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_012,
12,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_020,
13,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_021,
14,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_030,
15,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_031,
16,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_032,
17,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_040,
18,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_041,
19,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_042,
20,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_050,
21,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_051,
22,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_052,
23,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_060,
24,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_061,
25,TEXT_FESVLT2024GUIDE_00844_MAIDVLT00844_000_062,
