key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CHRHDY399_04784_SEQ_00,
1,TEXT_CHRHDY399_04784_SEQ_01,
2,TEXT_CHRHDY399_04784_SEQ_02,
3,TEXT_CHRHDY399_04784_SEQ_03,
4,TEXT_CHRHDY399_04784_SEQ_04,
5,TEXT_CHRHDY399_04784_SEQ_05,
6,TEXT_CHRHDY399_04784_SEQ_06,
7,TEXT_CHRHDY399_04784_SEQ_07,
8,TEXT_CHRHDY399_04784_SEQ_08,
9,TEXT_CHRHDY399_04784_SEQ_09,
10,TEXT_CHRHDY399_04784_SEQ_10,
11,TEXT_CHRHDY399_04784_SEQ_11,
12,TEXT_CHRHDY399_04784_SEQ_12,
13,TEXT_CHRHDY399_04784_SEQ_13,
14,TEXT_CHRHDY399_04784_SEQ_14,
15,TEXT_CHRHDY399_04784_SEQ_15,
16,TEXT_CHRHDY399_04784_SEQ_16,
17,TEXT_CHRHDY399_04784_SEQ_17,
18,TEXT_CHRHDY399_04784_SEQ_18,
19,TEXT_CHRHDY399_04784_SEQ_19,
20,TEXT_CHRHDY399_04784_SEQ_20,
21,TEXT_CHRHDY399_04784_SEQ_21,
22,TEXT_CHRHDY399_04784_SEQ_22,
23,TEXT_CHRHDY399_04784_SEQ_23,
24,TEXT_CHRHDY399_04784_TODO_00,
25,TEXT_CHRHDY399_04784_TODO_01,
26,TEXT_CHRHDY399_04784_TODO_02,
27,TEXT_CHRHDY399_04784_TODO_03,
28,TEXT_CHRHDY399_04784_TODO_04,
29,TEXT_CHRHDY399_04784_TODO_05,
30,TEXT_CHRHDY399_04784_TODO_06,
31,TEXT_CHRHDY399_04784_TODO_07,
32,TEXT_CHRHDY399_04784_TODO_08,
33,TEXT_CHRHDY399_04784_TODO_09,
34,TEXT_CHRHDY399_04784_TODO_10,
35,TEXT_CHRHDY399_04784_TODO_11,
36,TEXT_CHRHDY399_04784_TODO_12,
37,TEXT_CHRHDY399_04784_TODO_13,
38,TEXT_CHRHDY399_04784_TODO_14,
39,TEXT_CHRHDY399_04784_TODO_15,
40,TEXT_CHRHDY399_04784_TODO_16,
41,TEXT_CHRHDY399_04784_TODO_17,
42,TEXT_CHRHDY399_04784_TODO_18,
43,TEXT_CHRHDY399_04784_TODO_19,
44,TEXT_CHRHDY399_04784_TODO_20,
45,TEXT_CHRHDY399_04784_TODO_21,
46,TEXT_CHRHDY399_04784_TODO_22,
47,TEXT_CHRHDY399_04784_TODO_23,
48,TEXT_CHRHDY399_04784_SYSTEM_000_000,
49,TEXT_CHRHDY399_04784_MANDERVILALCHEMIST_000_001,
50,TEXT_CHRHDY399_04784_Q1_000_100,
51,TEXT_CHRHDY399_04784_A1_000_100,
52,TEXT_CHRHDY399_04784_A2_000_100,
53,TEXT_CHRHDY399_04784_A3_000_100,
54,TEXT_CHRHDY399_04784_SYSTEM_000_010,
55,TEXT_CHRHDY399_04784_SYSTEM_000_011,
56,TEXT_CHRHDY399_04784_SYSTEM_000_012,
57,TEXT_CHRHDY399_04784_MANDERVILALCHEMIST_000_020,
58,TEXT_CHRHDY399_04784_SYSTEM_000_021,
59,TEXT_CHRHDY399_04784_MANDERVILALCHEMIST_000_030,
60,TEXT_CHRHDY399_04784_MANDERVILALCHEMIST_000_040,
61,TEXT_CHRHDY399_04784_SYSTEM_000_041,
