key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_KINGKW399_05507_SEQ_00,
1,TEXT_KINGKW399_05507_SEQ_01,
2,TEXT_KINGKW399_05507_SEQ_02,
3,TEXT_KINGKW399_05507_SEQ_03,
4,TEXT_KINGKW399_05507_SEQ_04,
5,TEXT_KINGKW399_05507_SEQ_05,
6,TEXT_KINGKW399_05507_SEQ_06,
7,TEXT_KINGKW399_05507_SEQ_07,
8,TEXT_KINGKW399_05507_SEQ_08,
9,TEXT_KINGKW399_05507_SEQ_09,
10,TEXT_KINGKW399_05507_SEQ_10,
11,TEXT_KINGKW399_05507_SEQ_11,
12,TEXT_KINGKW399_05507_SEQ_12,
13,TEXT_KINGKW399_05507_SEQ_13,
14,TEXT_KINGKW399_05507_SEQ_14,
15,TEXT_KINGKW399_05507_SEQ_15,
16,TEXT_KINGKW399_05507_SEQ_16,
17,TEXT_KINGKW399_05507_SEQ_17,
18,TEXT_KINGKW399_05507_SEQ_18,
19,TEXT_KINGKW399_05507_SEQ_19,
20,TEXT_KINGKW399_05507_SEQ_20,
21,TEXT_KINGKW399_05507_SEQ_21,
22,TEXT_KINGKW399_05507_SEQ_22,
23,TEXT_KINGKW399_05507_SEQ_23,
24,TEXT_KINGKW399_05507_TODO_00,
25,TEXT_KINGKW399_05507_TODO_01,
26,TEXT_KINGKW399_05507_TODO_02,
27,TEXT_KINGKW399_05507_TODO_03,
28,TEXT_KINGKW399_05507_TODO_04,
29,TEXT_KINGKW399_05507_TODO_05,
30,TEXT_KINGKW399_05507_TODO_06,
31,TEXT_KINGKW399_05507_TODO_07,
32,TEXT_KINGKW399_05507_TODO_08,
33,TEXT_KINGKW399_05507_TODO_09,
34,TEXT_KINGKW399_05507_TODO_10,
35,TEXT_KINGKW399_05507_TODO_11,
36,TEXT_KINGKW399_05507_TODO_12,
37,TEXT_KINGKW399_05507_TODO_13,
38,TEXT_KINGKW399_05507_TODO_14,
39,TEXT_KINGKW399_05507_TODO_15,
40,TEXT_KINGKW399_05507_TODO_16,
41,TEXT_KINGKW399_05507_TODO_17,
42,TEXT_KINGKW399_05507_TODO_18,
43,TEXT_KINGKW399_05507_TODO_19,
44,TEXT_KINGKW399_05507_TODO_20,
45,TEXT_KINGKW399_05507_TODO_21,
46,TEXT_KINGKW399_05507_TODO_22,
47,TEXT_KINGKW399_05507_TODO_23,
48,TEXT_KINGKW399_05507_SYSTEM_000_000,可以在布里吉德处重新调整幻境武器的属性。
49,TEXT_KINGKW399_05507_BRIGID_000_001,要重新调整幻境武器的属性吗？<hex:02100103>你有需要的材料的话随时可以开始。
50,TEXT_KINGKW399_05507_Q1_000_100,要做什么？
51,TEXT_KINGKW399_05507_A1_000_100,重新调整幻境武器的属性
52,TEXT_KINGKW399_05507_A2_000_100,听取说明
53,TEXT_KINGKW399_05507_A3_000_100,取消
54,TEXT_KINGKW399_05507_SYSTEM_000_010,可以选择为幻境武器的最终形态赋予3种属性。<hex:02100103>其中一种属性可赋予的数值会低于其他属性。
55,TEXT_KINGKW399_05507_SYSTEM_000_011,重新调整完属性后，点击“确定”按钮，<hex:02100103>即可将调整后的属性重新赋予到武器上。
56,TEXT_KINGKW399_05507_SYSTEM_000_012,想要重新赋予属性时，<hex:02100103>每次都需要消耗<hex:02280BFF05>Item<hex:F2C7210103>。<hex:02100103>请经过慎重考虑后再进行武器的属性调整。
57,TEXT_KINGKW399_05507_BRIGID_000_020,想要重新调整幻境武器属性的话，<hex:02100103>需要你先准备好1个<hex:02280BFF05>Item<hex:F2C7210103>。
58,TEXT_KINGKW399_05507_SYSTEM_000_021,可以在幻境村的尔密娜处交换<hex:02280BFF05>Item<hex:F2C7210103>。
59,TEXT_KINGKW399_05507_BRIGID_000_030,你现在装备着的武器我没办法调整。<hex:02100103>去装备上想要调整属性的幻境武器后再来找我吧。
60,TEXT_KINGKW399_05507_BRIGID_000_040,……很好，成功了！<hex:02100103>如果还想再次调整的话，你可以随时再来找我。
61,TEXT_KINGKW399_05507_SYSTEM_000_106,<hex:020837E3E94509FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF1E><hex:02081AE1E94513FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF01><hex:03><hex:03>的幻境武器已重新调整完毕。
