key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGZB009_05038_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整<hex:0249020103><hex:0248020103><hex:02100103>瓦丘恩佩洛的米弗利有工作想委托给本领高强的人。
1,TEXT_KINGZB009_05038_SEQ_01,
2,TEXT_KINGZB009_05038_SEQ_02,
3,TEXT_KINGZB009_05038_SEQ_03,
4,TEXT_KINGZB009_05038_SEQ_04,
5,TEXT_KINGZB009_05038_SEQ_05,
6,TEXT_KINGZB009_05038_SEQ_06,
7,TEXT_KINGZB009_05038_SEQ_07,
8,TEXT_KINGZB009_05038_SEQ_08,
9,TEXT_KINGZB009_05038_SEQ_09,
10,TEXT_KINGZB009_05038_SEQ_10,
11,TEXT_KINGZB009_05038_SEQ_11,
12,TEXT_KINGZB009_05038_SEQ_12,
13,TEXT_KINGZB009_05038_SEQ_13,
14,TEXT_KINGZB009_05038_SEQ_14,
15,TEXT_KINGZB009_05038_SEQ_15,
16,TEXT_KINGZB009_05038_SEQ_16,
17,TEXT_KINGZB009_05038_SEQ_17,
18,TEXT_KINGZB009_05038_SEQ_18,
19,TEXT_KINGZB009_05038_SEQ_19,
20,TEXT_KINGZB009_05038_SEQ_20,
21,TEXT_KINGZB009_05038_SEQ_21,
22,TEXT_KINGZB009_05038_SEQ_22,
23,TEXT_KINGZB009_05038_SEQ_23,
24,TEXT_KINGZB009_05038_TODO_00,在<hex:02280CFF05>EObj<hex:F61EBBA40103>张望<hex:02100103>从<hex:02280FFF09>BNpcName<hex:F234A50103>身上获取<hex:022811FF0A>EventItem<hex:F61E929A0103>
25,TEXT_KINGZB009_05038_TODO_01,将<hex:022811FF0A>EventItem<hex:F61E929A0103>交给米弗利
26,TEXT_KINGZB009_05038_TODO_02,
27,TEXT_KINGZB009_05038_TODO_03,
28,TEXT_KINGZB009_05038_TODO_04,
29,TEXT_KINGZB009_05038_TODO_05,
30,TEXT_KINGZB009_05038_TODO_06,
31,TEXT_KINGZB009_05038_TODO_07,
32,TEXT_KINGZB009_05038_TODO_08,
33,TEXT_KINGZB009_05038_TODO_09,
34,TEXT_KINGZB009_05038_TODO_10,
35,TEXT_KINGZB009_05038_TODO_11,
36,TEXT_KINGZB009_05038_TODO_12,
37,TEXT_KINGZB009_05038_TODO_13,
38,TEXT_KINGZB009_05038_TODO_14,
39,TEXT_KINGZB009_05038_TODO_15,
40,TEXT_KINGZB009_05038_TODO_16,
41,TEXT_KINGZB009_05038_TODO_17,
42,TEXT_KINGZB009_05038_TODO_18,
43,TEXT_KINGZB009_05038_TODO_19,
44,TEXT_KINGZB009_05038_TODO_20,
45,TEXT_KINGZB009_05038_TODO_21,
46,TEXT_KINGZB009_05038_TODO_22,
47,TEXT_KINGZB009_05038_TODO_23,
48,TEXT_KINGZB009_05038_MIVLI_000_000,这位旅行者看起来身手很不错啊！<hex:02100103>我有点事想要拜托你。
49,TEXT_KINGZB009_05038_MIVLI_000_001,有种体型巨大的巨龙舌兰经常会在附近的恰巴梅奇平原出没。
50,TEXT_KINGZB009_05038_MIVLI_000_002,可以麻烦你讨伐这种<hex:02280FFF09>BNpcName<hex:F234A50103>，<hex:02100103>然后从它身上采集<hex:022811FF0A>EventItem<hex:F61E929A0103>吗？<hex:02100103>具体原因我之后再告诉你，那就拜托了！
51,TEXT_KINGZB009_05038_MIVLI_000_003,可以麻烦你讨伐<hex:02280FFF09>BNpcName<hex:F234A50103>，<hex:02100103>然后从它身上采集<hex:022811FF0A>EventItem<hex:F61E929A0103>吗？<hex:02100103>具体原因我之后再告诉你，那就拜托了！
52,TEXT_KINGZB009_05038_MIVLI_000_010,欢迎回来，东西拿到了吗？
53,TEXT_KINGZB009_05038_MIVLI_000_011,哇！好棒的<hex:022811FF0A>EventItem<hex:F61E929A0103>！<hex:02100103>这下就能制作出最棒的梅斯卡酒了！
54,TEXT_KINGZB009_05038_MIVLI_000_012,你知道关于梅斯卡酒的这个故事吗？<hex:02100103>佩鲁佩鲁族开始在图拉尔大陆做生意之后，<hex:02100103>从萨卡图拉尔人那里学会了这种酒的酿制方法。
55,TEXT_KINGZB009_05038_MIVLI_000_013,作为商品的梅斯卡酒是通过将龙舌兰的树液进行蒸馏制成。<hex:02100103>但如果使用了巨龙舌兰的球茎，<hex:02100103>便能制作出味道更加强烈更容易上头的酒。
56,TEXT_KINGZB009_05038_MIVLI_000_014,不过巨龙舌兰是很危险的魔物……<hex:02100103>想要获取这一材料十分困难。
57,TEXT_KINGZB009_05038_MIVLI_000_015,好在这次你能帮忙弄到，真是帮大忙了！<hex:02100103>这下应该就能制作出美味的梅斯卡酒了！
58,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_000,
59,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_001,
60,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_002,
61,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_003,
62,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_010,
63,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_011,
64,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_012,
65,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_013,
66,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_014,
67,TEXT_KINGZB009_05038_DISTILLEYPELUPELU05038_000_015,
