key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_BANANA602_03065_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整（限定职业）<hex:0249020103><hex:0248020103><hex:02100103>※本任务需要与接受任务时的职业相同才可继续进行任务。<hex:02100103><hex:02100103>威罗迪纳基地的耶夏娜很在意开在高台上的花。
1,TEXT_BANANA602_03065_SEQ_01,
2,TEXT_BANANA602_03065_SEQ_02,
3,TEXT_BANANA602_03065_SEQ_03,
4,TEXT_BANANA602_03065_SEQ_04,
5,TEXT_BANANA602_03065_SEQ_05,
6,TEXT_BANANA602_03065_SEQ_06,
7,TEXT_BANANA602_03065_SEQ_07,
8,TEXT_BANANA602_03065_SEQ_08,
9,TEXT_BANANA602_03065_SEQ_09,
10,TEXT_BANANA602_03065_SEQ_10,
11,TEXT_BANANA602_03065_SEQ_11,
12,TEXT_BANANA602_03065_SEQ_12,
13,TEXT_BANANA602_03065_SEQ_13,
14,TEXT_BANANA602_03065_SEQ_14,
15,TEXT_BANANA602_03065_SEQ_15,
16,TEXT_BANANA602_03065_SEQ_16,
17,TEXT_BANANA602_03065_SEQ_17,
18,TEXT_BANANA602_03065_SEQ_18,
19,TEXT_BANANA602_03065_SEQ_19,
20,TEXT_BANANA602_03065_SEQ_20,
21,TEXT_BANANA602_03065_SEQ_21,
22,TEXT_BANANA602_03065_SEQ_22,
23,TEXT_BANANA602_03065_SEQ_23,
24,TEXT_BANANA602_03065_TODO_00,对无垢干谷的<hex:02280CFF05>EObj<hex:F61EA9150103>使用<hex:022811FF0A>EventItem<hex:F61E8E120103><hex:02100103>获取<hex:022811FF0A>EventItem<hex:F61E8E130103>
25,TEXT_BANANA602_03065_TODO_01,将<hex:022811FF0A>EventItem<hex:F61E8E130103>交给耶夏娜
26,TEXT_BANANA602_03065_TODO_02,
27,TEXT_BANANA602_03065_TODO_03,
28,TEXT_BANANA602_03065_TODO_04,
29,TEXT_BANANA602_03065_TODO_05,
30,TEXT_BANANA602_03065_TODO_06,
31,TEXT_BANANA602_03065_TODO_07,
32,TEXT_BANANA602_03065_TODO_08,
33,TEXT_BANANA602_03065_TODO_09,
34,TEXT_BANANA602_03065_TODO_10,
35,TEXT_BANANA602_03065_TODO_11,
36,TEXT_BANANA602_03065_TODO_12,
37,TEXT_BANANA602_03065_TODO_13,
38,TEXT_BANANA602_03065_TODO_14,
39,TEXT_BANANA602_03065_TODO_15,
40,TEXT_BANANA602_03065_TODO_16,
41,TEXT_BANANA602_03065_TODO_17,
42,TEXT_BANANA602_03065_TODO_18,
43,TEXT_BANANA602_03065_TODO_19,
44,TEXT_BANANA602_03065_TODO_20,
45,TEXT_BANANA602_03065_TODO_21,
46,TEXT_BANANA602_03065_TODO_22,
47,TEXT_BANANA602_03065_TODO_23,
48,TEXT_BANANA602_03065_ESHANA_000_000,嘶——有件事要拜托你。<hex:02100103>希望你能采一些<hex:022811FF0A>EventItem<hex:F61E8E130103>。<hex:02100103>这种花长在难以攀登的高台之上。
49,TEXT_BANANA602_03065_ESHANA_000_001,这种花的花瓣，能够沏成恢复体力的药茶。<hex:02100103>阿露帕队长提议说，可以用它来招待简易旅馆的客人们。
50,TEXT_BANANA602_03065_ESHANA_000_002,但是<hex:02280CFF05>EObj<hex:F61EA9150103>非常纤细，<hex:02100103>随便乱碰的话，马上就会破损。<hex:02100103>这样的话药效也会减弱。
51,TEXT_BANANA602_03065_ESHANA_000_003,因此，我准备了这个<hex:022811FF0A>EventItem<hex:F61E8E120103>。<hex:02100103>是路过这座关口的人类教我做的，<hex:02100103>可以在不伤到植物的前提下将之保存起来的炼金药。
52,TEXT_BANANA602_03065_ESHANA_000_004,使用这个的话，就能得到<hex:022811FF0A>EventItem<hex:F61E8E130103>了吧。<hex:02100103><hex:02280CFF05>EObj<hex:F61EA9150103>就开在无垢干谷，<hex:02100103>请你使用这个炼金药浸透它，然后摘回来。
53,TEXT_BANANA602_03065_SYSTEM_000_010,脆弱的<hex:02280CFF05>EObj<hex:F61EA9150103>开放着。<hex:02100103>就这样直接用手去触碰的话，会伤到它吧……
54,TEXT_BANANA602_03065_SYSTEM_000_011,炼金药浸透了整株花！
55,TEXT_BANANA602_03065_ESHANA_000_020,嘶——你采到<hex:022811FF0A>EventItem<hex:F61E8E130103>了吗？
56,TEXT_BANANA602_03065_ESHANA_000_021,嘶——炼金药似乎很有效。<hex:02100103>这花看起来完美无缺，娇艳欲滴。<hex:02100103>甚至让人觉得用来沏茶简直浪费了。
57,TEXT_BANANA602_03065_ESHANA_000_022,药茶还有炼金药的做法，是一位乌尔达哈商人教我的。<hex:02100103>他是个想要我们蜕下的皮的怪人，<hex:02100103>但作为回报，他也教给了我对这座关口有用的知识。
58,TEXT_BANANA602_03065_ESHANA_000_023,这座关口有很多人类们来来往往，因此可以学到不少东西。<hex:02100103>今后我会继续多多掌握阿难陀族与人类们的知识，<hex:02100103>守好这座关口，之后也要拜托你了。
